"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"4.416020671834626","0.0","0.22644821533060266","0.0","1","1","6","false","RP11-148K1.12","21.0","0","1","0","0.9101047191622468","false","0","RP11-148K1.12","0","0.0","lncRNA"
"4.8604651162790695","0.0028329961890509424","0.2057416267942584","0.0","2","2","6","false","RP11-673P17.2","6.5","0","2","0","0.8984088127294981","false","0","RP11-673P17.2","4476","0.5","lncRNA"
"4.834625322997416","0.0","0.20684126135756278","0.0","1","1","8","false","AC000095.11","15.0","0","1","0","0.8990888072895417","false","0","AC000095.11","0","0.0","lncRNA"
"4.679586563307494","0.0","0.21369409166206516","0.0","1","1","6","false","RP11-338K13.1","12.0","0","1","0","0.9031687746498027","false","0","RP11-338K13.1","0","0.0","lncRNA"
"5.8062015503875966","0.0","0.17222963951935916","0.0","1","1","8","false","CTB-50L17.7","7.0","0","1","0","0.8735210118319053","false","0","CTB-50L17.7","0","0.0","lncRNA"
"5.108527131782946","0.0","0.19575113808801214","0.0","1","1","8","false","RP11-1191J2.2","19.0","0","1","0","0.8918808649530803","false","0","RP11-1191J2.2","0","0.0","lncRNA"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","REV3L-IT1","15.0","0","1","0","0.8815449476404189","false","0","REV3L-IT1","0","0.0","lncRNA"
"5.217054263565892","0.0","0.19167904903417532","0.0","1","1","8","false","AP001626.2","14.0","0","1","0","0.8890248878008976","false","0","AP001626.2","0","0.0","lncRNA"
"4.286821705426356","0.001599415128579661","0.23327305605786622","0.0","2","2","6","false","LINC01168","13.5","0","2","0","0.9135046919624643","false","0","LINC01168","3796","0.5681818181818182","lncRNA"
"5.304909560723514","0.0","0.1885046273745738","0.0","1","1","8","false","CTD-2008P7.3","4.0","0","1","0","0.8867129062967496","false","0","CTD-2008P7.3","0","0.0","lncRNA"
"4.989664082687338","0.0","0.20041429311237702","0.0","1","1","8","false","AC124997.1","17.0","0","1","0","0.8950088399292805","false","0","AC124997.1","0","0.0","lncRNA"
"4.984496124031008","0.0","0.2006220839813375","0.0","1","1","7","false","ATP2A1-AS1","8.0","0","1","0","0.8951448388412891","false","0","ATP2A1-AS1","0","0.0","lncRNA"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","RP11-67K19.3","15.0","0","1","0","0.8815449476404189","false","0","RP11-67K19.3","0","0.0","lncRNA"
"4.359173126614987","7.622095376071762E-4","0.22940130409010076","0.0","2","2","8","false","PABPC1L2B-AS1","9.5","0","2","0","0.9116007071943424","false","0","PABPC1L2B-AS1","2068","0.6071428571428571","lncRNA"
"5.27390180878553","0.0","0.18961293483586478","0.0","1","1","8","false","AP001469.9","13.0","0","1","0","0.8875288997688018","false","0","AP001469.9","0","0.0","lncRNA"
"4.870801033591731","0.0","0.2053050397877984","0.0","1","1","7","false","RP13-895J2.3","7.0","0","1","0","0.8981368149054807","false","0","RP13-895J2.3","0","0.0","lncRNA"
"4.989664082687338","0.0","0.20041429311237702","0.0","1","1","8","false","AC005481.5","10.0","0","1","0","0.8950088399292805","false","0","AC005481.5","0","0.0","lncRNA"
"4.416020671834626","0.0","0.22644821533060266","0.0","1","1","6","false","MAFG-AS1","21.0","0","1","0","0.9101047191622468","false","0","MAFG-AS1","0","0.0","lncRNA"
"5.9147286821705425","0.0","0.1690694626474443","0.0","1","1","8","false","HCG22","3.0","0","1","0","0.8706650346797226","false","0","HCG22","0","0.0","lncRNA"
"5.41343669250646","0.0","0.18472553699284008","0.0","1","1","8","false","RP11-573D15.2","11.0","0","1","0","0.8838569291445669","false","0","RP11-573D15.2","0","0.0","lncRNA"
"5.330749354005168","3.347123482079501E-5","0.18759088705768298","0.0","2","2","8","false","AC137934.1","4.0","0","2","0","0.8860329117367061","false","0","AC137934.1","10","0.6","lncRNA"
"5.093023255813954","0.0","0.1963470319634703","0.0","1","1","8","false","MCF2L-AS1","6.0","0","1","0","0.8922888616891065","false","0","MCF2L-AS1","0","0.0","lncRNA"
"4.989664082687338","0.0","0.20041429311237702","0.0","1","1","8","false","RP1-288H2.2","17.0","0","1","0","0.8950088399292805","false","0","RP1-288H2.2","0","0.0","lncRNA"
"5.025839793281654","0.0","0.19897172236503854","0.0","1","1","7","false","CTB-171A8.1","6.0","0","1","0","0.8940568475452196","false","0","CTB-171A8.1","0","0.0","lncRNA"
"5.5633074935400515","0.0","0.17974918718067812","0.0","1","1","8","false","GS1-279B7.1","3.0","0","1","0","0.8799129606963144","false","0","GS1-279B7.1","0","0.0","lncRNA"
"4.679586563307494","0.0","0.21369409166206516","0.0","1","1","6","false","AC114783.1","12.0","0","1","0","0.9031687746498027","false","0","AC114783.1","0","0.0","lncRNA"
